"county","fips","year","deaths","population","overdose_rate","kits_per_100k_2018_2025","urban_rural_code"
"Sonoma",6097,2021,159,485887,32.72,28184.1,3
"Sonoma",6097,2022,120,482650,24.86,28184.1,3
"Sonoma",6097,2023,133,481812,27.6,28184.1,3
"Stanislaus",6099,2018,79,549815,14.37,21233.4,3
"Stanislaus",6099,2019,83,550660,15.07,21233.4,3
"Stanislaus",6099,2020,130,550081,23.63,21233.4,3
"Stanislaus",6099,2021,164,552999,29.66,21233.4,3
"Stanislaus",6099,2022,181,551275,32.83,21233.4,3
"Stanislaus",6099,2023,189,551430,34.27,21233.4,3
"Sutter",6101,2018,16,96807,16.53,16656.4,4
"Sutter",6101,2020,17,96385,17.64,16656.4,4
"Sutter",6101,2021,35,99063,35.33,16656.4,4
"Sutter",6101,2022,38,98503,38.58,16656.4,4
"Sutter",6101,2023,23,97948,23.48,16656.4,4
"Tehama",6103,2021,22,65498,33.59,18389.3,5
"Tehama",6103,2022,29,65245,44.45,18389.3,5
"Tehama",6103,2023,42,64896,64.72,18389.3,5
"Tulare",6107,2018,53,465861,11.38,4373.5,3
"Tulare",6107,2019,41,466195,8.79,4373.5,3
"Tulare",6107,2020,71,468680,15.15,4373.5,3
"Tulare",6107,2021,92,477054,19.29,4373.5,3
"Tulare",6107,2022,103,477544,21.57,4373.5,3
"Tulare",6107,2023,111,479468,23.15,4373.5,3
"Tuolumne",6109,2019,12,54478,22.03,77675.3,5
"Tuolumne",6109,2020,10,54515,18.34,77675.3,5
"Tuolumne",6109,2021,17,55810,30.46,77675.3,5
"Tuolumne",6109,2022,20,54531,36.68,77675.3,5
"Tuolumne",6109,2023,21,54204,38.74,77675.3,5
"Ventura",6111,2018,135,850967,15.86,11204.3,3
"Ventura",6111,2019,136,846006,16.08,11204.3,3
"Ventura",6111,2020,190,841387,22.58,11204.3,3
"Ventura",6111,2021,264,839784,31.44,11204.3,3
"Ventura",6111,2022,247,832605,29.67,11204.3,3
"Ventura",6111,2023,266,829590,32.06,11204.3,3
"Yolo",6113,2018,20,220408,9.07,12336.9,2
"Yolo",6113,2019,27,220500,12.24,12336.9,2
"Yolo",6113,2020,32,219728,14.56,12336.9,2
"Yolo",6113,2021,33,216986,15.21,12336.9,2
"Yolo",6113,2022,45,222115,20.26,12336.9,2
"Yolo",6113,2023,43,220544,19.5,12336.9,2
"Yuba",6115,2018,14,78041,17.94,37760.1,4
"Yuba",6115,2019,12,78668,15.25,37760.1,4
"Yuba",6115,2020,17,80160,21.21,37760.1,4
"Yuba",6115,2021,26,83421,31.17,37760.1,4
"Yuba",6115,2022,39,84310,46.26,37760.1,4
"Yuba",6115,2023,33,85722,38.5,37760.1,4
